valid_time,model_level,latitude,longitude,expver,t
1/1/2013,1,74,321,1,211.2794
1/1/2013,1,74,322,1,211.6002
1/1/2013,1,74,323,1,211.92393
1/1/2013,1,74,324,1,212.24913
1/1/2013,1,74,325,1,212.57774
1/1/2013,1,74,326,1,212.91173
1/1/2013,1,74,327,1,213.25108
1/1/2013,1,74,328,1,213.59435
1/1/2013,1,74,329,1,213.94054
1/1/2013,1,74,330,1,214.2882
1/1/2013,1,74,331,1,214.63927
1/1/2013,1,74,332,1,214.99522
1/1/2013,1,74,333,1,215.35802
1/1/2013,1,74,334,1,215.72716
1/1/2013,1,74,335,1,216.10167
1/1/2013,1,74,336,1,216.47911
1/1/2013,1,74,337,1,216.85704
1/1/2013,1,74,338,1,217.23204
1/1/2013,1,74,339,1,217.60265
1/1/2013,1,74,340,1,217.96446
1/1/2013,1,74,341,1,218.3131
1/1/2013,1,74,342,1,218.64415
1/1/2013,1,74,343,1,218.9503
1/1/2013,1,74,344,1,219.22716
1/1/2013,1,74,345,1,219.46935
1/1/2013,1,74,346,1,219.67247
1/1/2013,1,74,347,1,219.83409
1/1/2013,1,74,348,1,219.95177
1/1/2013,1,74,349,1,220.02696
1/1/2013,1,74,350,1,220.06456
1/1/2013,1,74,351,1,220.07579
1/1/2013,1,74,352,1,220.07481
1/1/2013,1,74,353,1,220.07872
1/1/2013,1,74,354,1,220.10606
1/1/2013,1,74,355,1,220.16856
1/1/2013,1,74,356,1,220.27257
1/1/2013,1,74,357,1,220.41417
1/1/2013,1,74,358,1,220.58116
1/1/2013,1,74,359,1,220.7584
1/1/2013,1,73,0,1,208.45567
1/1/2013,1,73,310,1,208.42442
1/1/2013,1,73,311,1,208.40343
1/1/2013,1,73,312,1,208.40147
1/1/2013,1,73,313,1,208.42296
1/1/2013,1,73,314,1,208.46837
1/1/2013,1,73,315,1,208.53917
1/1/2013,1,73,316,1,208.63878
1/1/2013,1,73,317,1,208.77354
1/1/2013,1,73,318,1,208.94737
1/1/2013,1,73,319,1,209.16222
1/1/2013,1,73,320,1,209.41515
1/1/2013,1,73,321,1,209.7003
1/1/2013,1,73,322,1,210.01231
1/1/2013,1,73,323,1,210.34776
1/1/2013,1,73,324,1,210.70567
1/1/2013,1,73,325,1,211.08458
1/1/2013,1,73,326,1,211.48106
1/1/2013,1,73,327,1,211.88927
1/1/2013,1,73,328,1,212.30235
1/1/2013,1,73,329,1,212.71446
1/1/2013,1,73,330,1,213.12364
1/1/2013,1,73,331,1,213.53087
1/1/2013,1,73,332,1,213.93858
1/1/2013,1,73,333,1,214.34825
1/1/2013,1,73,334,1,214.76036
1/1/2013,1,73,335,1,215.17442
1/1/2013,1,73,336,1,215.59093
1/1/2013,1,73,337,1,216.00987
1/1/2013,1,73,338,1,216.4298
1/1/2013,1,73,339,1,216.84581
1/1/2013,1,73,340,1,217.24962
1/1/2013,1,73,341,1,217.63048
1/1/2013,1,73,342,1,217.97911
1/1/2013,1,73,343,1,218.28868
1/1/2013,1,73,344,1,218.55724
1/1/2013,1,73,345,1,218.7838
1/1/2013,1,73,346,1,218.96837
1/1/2013,1,73,347,1,219.11046
1/1/2013,1,73,348,1,219.20958
1/1/2013,1,73,349,1,219.26915
